WLED_Wemos_shield_Digikey,,,,,
WLED Wemos shield BOM,,,,,
Name,Value,Manufacturer,Digikey,MPN,QTY
"R1, R3, R4",10kOhm,Stackpole Electronics Inc,S10KQCT-ND,CFM14JT10K0,3
"R2, R5, R6, R7",4.7kOhm,Stackpole Electronics Inc,S4.7KQCT-ND,CFM14JT4K70,4
R8,150Ohm,Stackpole Electronics Inc,S150QCT-ND,CFM14JT150R,1
C1,0.1uF,Kemet,399-4151-ND,C315C104M5U5TA,1
"C4, C5",10uF,TDK Corporation,445-8262-ND,FK11X7R1E106M,2
C6,470uF 10V,Würth Elektronik,732-8708-1-ND,860010273011,1
C2,1000uF 25V,Nichicon,493-1065-ND,UVR1E102MPD,1
Q1,2N7000,ON Semiconductor,2N7000FS-ND,2N7000,1
D1,1N4148,Vishay Diodes,1N4148-P-TAPGICT-ND,1N4148-P-TAP,1
D2,1N5817,Micro Commercial Co,1N5817-TPCT-ND,1N5817-TP,1
U1,DS18B20,Maxim Integrated,DS18B20+-ND,DS18B20+,1
F1,3568,Keystone Electronics,36-3568-ND,3568,1
F2,16V 900mA,Littelfuse Inc.,RUSBF090-2HFCT-ND,RUSBF090-2,1
LV1,SN74AHCT125,Texas Instruments,296-4655-5-ND,SN74AHCT125N,1
K1,SRD-05VDCSL-C,Songle,"Amazon, Aliexpress",SRD-05VDCSL-C,1
K1 alternate,"ORWH-SH-105D1F,000",TE Connectivity Potter,PB2032-ND,"ORWH-SH-105D1F,000",1
PS1 (jumper select),VXO7805-500,CUI Inc.,102-4249-ND,VXO7805-500,1
X1,TERM BLK 2P SIDE ENT 5.08MM PCB,Molex,WM4393-ND,398800302,1
X2,TERM BLK 4P SIDE ENT 5.08MM PCB,Molex,WM13972-ND,398800304,1
"H1, H2 (Wemos D1 mini)",CONN HDR 8POS 0.1 GOLD PCB,Sullins Connector Solutions,S7041-ND,PPPC081LFBN-RC,2
"H1, H3, H4 (ESP 32 mini)",CONN HDR 8POS 0.1 GOLD PCB,Sullins Connector Solutions,S7041-ND,PPPC081LFBN-RC,3
H2 (ESP 32 mini),CONN HDR 10POS 0.1 GOLD PCB,Sullins Connector Solutions,S7043-ND,PPPC101LFBN-RC,1
Headers,CONN HEADER VERT 20POS 2.54MM,Harwin Inc.,952-3306-ND,M20-9992045,1
Jumper,CONN JUMPER SHORTING GOLD,Sullins Connector Solutions,S9001-ND,SPC02SYAN,1
SW1,SWITCH TACTILE,TE Connectivity,450-1657-ND,1825027-8,1
IR,SENSOR REMOTE REC 38.0KHZ 45M,Vishay Semiconductor,TSOP38238,TSOP38238,1
